id,params,acc,gen
net,3096,0.5214000344276428,0
net_1,990,0.6545000076293945,0
net_2,8620,0.9206000566482544,0
net_3,1407,0.8903000354766846,0
net_4,1151,0.797700047492981,0
net_5,2727,0.9217000603675842,0
net_6,3621,0.9232000708580017,0
net_7,4473,0.9089000225067139,0
net_8,7816,0.9399000406265259,0
net_9,2284,0.8131000399589539,0
net_10,5509,0.883400022983551,0
net_11,885,0.5749000310897827,0
net_12,872,0.820400059223175,0
net_13,1072,0.8048000335693359,0
net_14,443,0.5770000219345093,0
net_15,1011,0.7134000062942505,0
net_16,1560,0.8669000267982483,0
net_17,1759,0.8398000597953796,0
net_18,7393,0.940500020980835,0
net_19,554,0.31070002913475037,0
net_20,840,0.8443000316619873,0
net_21,405,0.6185000538825989,0
net_22,4073,0.9493000507354736,0
net_23,2259,0.9221000671386719,0
net_24,6847,0.8534000515937805,0
net_25,7837,0.9348000288009644,0
net_26,3464,0.9309000372886658,0
net_27,783,0.7837000489234924,0
net_28,4366,0.8279000520706177,0
net_29,3688,0.9116000533103943,0
net_30,1005,0.8023000359535217,0
net_31,610,0.6635000109672546,0
net_32,1880,0.728600025177002,0
net_33,844,0.7616000175476074,0
net_34,920,0.7834000587463379,0
net_35,852,0.7969000339508057,0
net_36,850,0.741100013256073,0
net_37,345,0.5819000005722046,0
net_38,337,0.22580000758171082,0
net_39,1010,0.6383000016212463,0
net_40,4511,0.9030000567436218,0
net_41,3123,0.7377000451087952,0
net_42,1007,0.8778000473976135,0
net_43,1357,0.4975000321865082,0
net_44,8101,0.9225000143051147,0
net_45,978,0.6688000559806824,0
net_46,1243,0.8097000122070312,0
net_47,1664,0.8226000666618347,0
net_48,4824,0.9178000688552856,0
net_49,2302,0.6896000504493713,0
net_50,486,0.6348000168800354,0
net_51,873,0.6970000267028809,0
net_52,1214,0.7968000173568726,0
net_53,2835,0.6637000441551208,0
net_54,1658,0.6829000115394592,0
net_55,3101,0.831000030040741,0
net_56,2738,0.901900053024292,0
net_57,975,0.8115000128746033,0
net_58,707,0.6121000051498413,0
net_59,1198,0.7521000504493713,0
net_60,1145,0.667900025844574,0
net_61,5620,0.9492000341415405,0
net_62,2814,0.8865000605583191,0
net_63,680,0.6581000089645386,0
net_64,1770,0.7625000476837158,0
net_65,576,0.7672000527381897,0
net_66,734,0.6536000370979309,0
net_67,2036,0.8111000657081604,0
net_68,1641,0.8936000466346741,0
net_69,2110,0.7656000256538391,0
net_70,5255,0.9541000723838806,0
net_71,5705,0.9319000244140625,0
net_72,2283,0.9267000555992126,0
net_73,619,0.7031000256538391,0
net_74,2741,0.8702000379562378,0
net_75,423,0.22550001740455627,0
net_76,5190,0.9284000396728516,0
net_77,501,0.3927000164985657,0
net_78,1708,0.7746000289916992,0
net_79,4665,0.9409000277519226,0
net_80,2204,0.9146000146865845,0
net_81,347,0.36260002851486206,0
net_82,1501,0.8629000186920166,0
net_83,1140,0.7542000412940979,0
net_84,1673,0.8803000450134277,0
net_85,765,0.7821000218391418,0
net_86,2702,0.9020000696182251,0
net_87,1182,0.8030000329017639,0
net_88,793,0.8077000379562378,0
net_89,10583,0.9655000567436218,0
net_90,1401,0.8089000582695007,0
net_91,407,0.5859000086784363,0
net_92,6801,0.9561000466346741,0
net_93,2344,0.8929000496864319,0
net_94,1296,0.83160001039505,0
net_95,6078,0.9435000419616699,0
net_96,769,0.772100031375885,0
net_97,3648,0.9371000528335571,0
net_98,1370,0.8530000448226929,0
net_99,2395,0.68340003490448,0
net_100,337,0.22630001604557037,1
net_101,1007,0.8741000294685364,1
net_102,10583,0.968500018119812,1
net_103,4583,0.9389000535011292,1
net_104,664,0.3939000070095062,1
net_105,9503,0.9642000198364258,1
net_106,261,0.22050000727176666,1
net_107,10583,0.9687000513076782,1
net_108,5633,0.955500066280365,1
net_109,5025,0.9106000661849976,1
net_110,877,0.8831000328063965,1
net_111,732,0.8224000334739685,1
net_112,337,0.37370002269744873,1
net_113,314,0.26930001378059387,1
net_114,867,0.8270000219345093,1
net_115,2065,0.542900025844574,1
net_116,3756,0.9434000253677368,1
net_117,2428,0.9247000217437744,1
net_118,336,0.367900013923645,1
net_119,337,0.22610001266002655,1
net_120,10583,0.9658000469207764,1
net_121,1478,0.9029000401496887,1
net_122,11337,0.9664000272750854,1
net_123,772,0.32680001854896545,1
net_124,3665,0.8938000202178955,1
net_125,1277,0.8796000480651855,1
net_126,5633,0.9516000747680664,1
net_127,1007,0.8759000301361084,1
net_128,1076,0.87090003490448,1
net_129,12580,0.9677000641822815,1
net_130,10671,0.9656000733375549,1
net_131,4587,0.9357000589370728,1
net_132,337,0.344400018453598,1
net_133,1007,0.8785000443458557,1
net_134,607,0.7893000245094299,1
net_135,10583,0.9647000432014465,1
net_136,4083,0.9111000299453735,1
net_137,2361,0.912600040435791,1
net_138,299,0.21980001032352448,1
net_139,1017,0.5202000141143799,1
net_140,3037,0.9411000609397888,1
net_141,11903,0.96670001745224,1
net_142,9892,0.9657000303268433,1
net_143,680,0.8073000311851501,1
net_144,467,0.39070001244544983,1
net_145,959,0.7100000381469727,1
net_146,9820,0.9643000364303589,1
net_147,451,0.19840000569820404,1
net_148,8008,0.9646000266075134,1
net_149,872,0.9052000641822815,1
net_150,1547,0.8954000473022461,1
net_151,337,0.22580000758171082,1
net_152,372,0.19680000841617584,1
