id,params,acc
net_4,1812,0.8847000598907471
net_13,1812,0.8903000354766846
net_24,1812,0.8865000605583191
net_37,1809,0.9127000570297241
net_42,1809,0.9080000519752502
net_57,2376,0.9320000410079956
net_62,2376,0.9312000274658203
net_76,2376,0.9317000508308411
net_85,2376,0.9324000477790833
net_92,2376,0.9291000366210938
net_101,2376,0.9279000163078308
net_119,2000,0.9189000725746155
net_122,2000,0.9232000708580017
net_134,2000,0.9236000180244446
net_142,2000,0.9259000420570374
net_152,2000,0.9230000376701355
net_161,2000,0.9218000173568726
net_170,2000,0.9216000437736511
net_185,2000,0.9252000451087952
net_191,2000,0.926300048828125
