id,params,acc
net,2813,0.876300036907196
net_1,2282,0.891200065612793
net_2,4791,0.9254000186920166
net_3,5775,0.9250000715255737
net_4,1812,0.8847000598907471
net_5,6749,0.9303000569343567
net_6,12731,0.948900043964386
net_7,1163,0.7099000215530396
net_8,9727,0.9604000449180603
net_9,4443,0.9387000203132629
net_10,1812,0.8847000598907471
net_11,1163,0.721500039100647
net_12,9727,0.961400032043457
net_13,1812,0.8903000354766846
net_14,9781,0.9666000604629517
net_15,1235,0.7679000496864319
net_16,697,0.578000009059906
net_17,12086,0.9604000449180603
net_18,1502,0.7696000337600708
net_19,10732,0.9638000726699829
net_20,1812,0.8859000205993652
net_21,9781,0.9664000272750854
net_22,697,0.5667999982833862
net_23,697,0.5850000381469727
net_24,1812,0.8865000605583191
net_25,9781,0.9663000702857971
net_26,11063,0.9633000493049622
net_27,697,0.5878000259399414
net_28,1149,0.6514000296592712
net_29,1812,0.8850000500679016
net_30,9781,0.9640000462532043
net_31,697,0.5723000168800354
net_32,1812,0.8821000456809998
net_33,697,0.5455999970436096
net_34,9380,0.9606000185012817
net_35,926,0.8099000453948975
net_36,1812,0.7736000418663025
net_37,1809,0.9127000570297241
net_38,1642,0.7854000329971313
net_39,2857,0.8981000185012817
net_40,9781,0.9642000198364258
net_41,697,0.5564000010490417
net_42,1809,0.9080000519752502
net_43,12416,0.9696000218391418
net_44,8445,0.9628000259399414
net_45,872,0.6712000370025635
net_46,967,0.7849000096321106
net_47,697,0.5728000402450562
net_48,1014,0.8682000637054443
net_49,697,0.5263000130653381
net_50,697,0.5818000435829163
net_51,1809,0.910800039768219
net_52,12416,0.9661000370979309
net_53,1323,0.8502000570297241
net_54,12416,0.9679000377655029
net_55,12416,0.9636000394821167
net_56,1809,0.7970000505447388
net_57,2376,0.9320000410079956
net_58,1236,0.7027000188827515
net_59,1784,0.900600016117096
net_60,697,0.5711000561714172
net_61,12416,0.9664000272750854
net_62,2376,0.9312000274658203
net_63,4841,0.9425000548362732
net_64,621,0.6401000022888184
net_65,2993,0.9087000489234924
net_66,6025,0.9524000287055969
net_67,14483,0.967400074005127
net_68,7272,0.9595000743865967
net_69,2457,0.9195000529289246
net_70,2376,0.9290000200271606
net_71,621,0.6278000473976135
net_72,14483,0.9704000353813171
net_73,621,0.6267000436782837
net_74,2242,0.9083000421524048
net_75,1466,0.7478000521659851
net_76,2376,0.9317000508308411
net_77,6568,0.9490000605583191
net_78,7000,0.9125000238418579
net_79,621,0.6244000196456909
net_80,621,0.6512000560760498
net_81,14483,0.9671000242233276
