id,params,acc,gen
net,24774,0.9701000452041626,0
net_1,370,0.43710002303123474,0
net_2,1064,0.6359000205993652,0
net_3,25310,0.9707000255584717,0
net_4,1561,0.6350000500679016,0
net_5,370,0.4431000351905823,1
net_6,1064,0.6323000192642212,1
net_7,25310,0.9670000672340393,1
net_8,370,0.43800002336502075,1
net_9,370,0.4349000155925751,1
net_10,370,0.42920002341270447,2
net_11,1064,0.6397000551223755,2
net_12,25310,0.9653000235557556,2
net_13,25310,0.9682000279426575,2
net_14,25310,0.9683000445365906,2
net_15,370,0.43410003185272217,3
net_16,1064,0.6469000577926636,3
net_17,25310,0.9672000408172607,3
net_18,19270,0.9618000388145447,3
net_19,25310,0.9671000242233276,3
net_20,370,0.4376000165939331,4
net_21,1064,0.6476000547409058,4
net_22,25310,0.9681000709533691,4
net_23,1160,0.8093000650405884,4
net_24,370,0.44040003418922424,4
net_25,370,0.4294000267982483,5
net_26,25310,0.9675000309944153,5
net_27,1160,0.8153000473976135,5
net_28,25310,0.9669000506401062,5
net_29,25310,0.969200074672699,5
net_30,370,0.4280000329017639,6
net_31,1160,0.8061000108718872,6
net_32,25310,0.9675000309944153,6
net_33,370,0.28110000491142273,6
net_34,1160,0.819100022315979,6
net_35,370,0.44630002975463867,7
net_36,25310,0.9694000482559204,7
net_37,1160,0.8122000098228455,7
net_38,370,0.4309000074863434,7
net_39,25310,0.9663000702857971,7
net_40,370,0.4448000192642212,8
net_41,25310,0.9678000211715698,8
net_42,1160,0.80840003490448,8
net_43,753,0.6141000390052795,8
net_44,25310,0.9658000469207764,8
net_45,370,0.44270002841949463,9
net_46,25310,0.9669000506401062,9
net_47,1160,0.8060000538825989,9
net_48,20264,0.9658000469207764,9
net_49,25310,0.9687000513076782,9
net_50,370,0.42760002613067627,10
net_51,1160,0.8134000301361084,10
net_52,25310,0.9688000679016113,10
net_53,15410,0.9572000503540039,10
net_54,433,0.5850000381469727,10
net_55,370,0.4367000162601471,11
net_56,1160,0.8021000623703003,11
net_57,25310,0.969700038433075,11
net_58,1104,0.7625000476837158,11
net_59,370,0.445000022649765,11
net_60,370,0.44120001792907715,12
net_61,1160,0.8179000616073608,12
net_62,25310,0.9643000364303589,12
net_63,25380,0.9689000248908997,12
net_64,25268,0.9497000575065613,12
net_65,370,0.43150001764297485,13
net_66,1160,0.8075000643730164,13
net_67,25380,0.9730000495910645,13
net_68,370,0.43570002913475037,13
net_69,370,0.4382000267505646,13
net_70,370,0.4335000216960907,14
net_71,1160,0.8159000277519226,14
net_72,25380,0.9700000286102295,14
net_73,1064,0.6502000093460083,14
net_74,653,0.6761000156402588,14
net_75,370,0.4285000264644623,15
net_76,1160,0.8130000233650208,15
net_77,25380,0.970300018787384,15
net_78,1160,0.8133000135421753,15
net_79,370,0.43700000643730164,15
net_80,370,0.43410003185272217,16
net_81,25380,0.968000054359436,16
net_82,1160,0.8111000657081604,16
net_83,1160,0.8055000305175781,16
net_84,370,0.4344000220298767,16
net_85,370,0.4408000111579895,17
net_86,25380,0.9729000329971313,17
net_87,1160,0.8067000508308411,17
net_88,25380,0.9696000218391418,17
net_89,1160,0.815000057220459,17
net_90,370,0.44140002131462097,18
net_91,25380,0.9673000574111938,18
net_92,1160,0.813800036907196,18
net_93,18660,0.9648000597953796,18
net_94,385,0.5187000036239624,18
net_95,370,0.4431000351905823,19
net_96,25380,0.9711000323295593,19
net_97,1160,0.8203000426292419,19
net_98,1160,0.8172000646591187,19
net_99,406,0.5281000137329102,19
net_100,370,0.42970001697540283,20
net_101,25380,0.9712000489234924,20
net_102,1160,0.8161000609397888,20
net_103,1160,0.8107000589370728,20
net_104,25478,0.9716000556945801,20
net_105,370,0.4351000189781189,21
net_106,1160,0.8089000582695007,21
net_107,25478,0.9757000207901001,21
net_108,370,0.44220003485679626,21
net_109,25478,0.9737000465393066,21
net_110,370,0.4312000274658203,22
net_111,1160,0.8166000247001648,22
net_112,25478,0.9727000594139099,22
net_113,25478,0.9725000262260437,22
net_114,370,0.4351000189781189,22
net_115,370,0.43340003490448,23
net_116,1160,0.8044000267982483,23
net_117,25478,0.9742000699043274,23
net_118,370,0.4383000135421753,23
net_119,324,0.4263000190258026,23
net_120,1160,0.820900022983551,24
net_121,25478,0.9742000699043274,24
net_122,324,0.4359000325202942,24
net_123,25478,0.9748000502586365,24
net_124,25478,0.9720000624656677,24
net_125,1160,0.8115000128746033,25
net_126,324,0.4344000220298767,25
net_127,25478,0.9734000563621521,25
net_128,1160,0.8096000552177429,25
net_129,12129,0.9494000673294067,25
net_130,1160,0.8156000375747681,26
net_131,324,0.4353000223636627,26
net_132,25478,0.9727000594139099,26
net_133,25478,0.971500039100647,26
net_134,324,0.4383000135421753,26
net_135,1160,0.8114000558853149,27
net_136,324,0.43790000677108765,27
net_137,25478,0.9743000268936157,27
net_138,1460,0.8256000280380249,27
net_139,267,0.44770002365112305,27
net_140,25478,0.9718000292778015,28
net_141,1460,0.8157000541687012,28
net_142,267,0.4375000298023224,28
net_143,267,0.4523000121116638,28
net_144,15578,0.9623000621795654,28
net_145,25478,0.9747000336647034,29
net_146,1460,0.8401000499725342,29
net_147,267,0.4504000246524811,29
net_148,25478,0.9738000631332397,29
net_149,1163,0.8124000430107117,29
