id,params,acc,gen
net,10529,0.7607000470161438,0
net_1,5621,0.9433000683784485,0
net_2,3604,0.6151000261306763,0
net_3,6152,0.9301000237464905,0
net_4,8931,0.9425000548362732,0
net_5,5621,0.9497000575065613,1
net_6,3604,0.6111000180244446,1
net_7,11192,0.9595000743865967,1
net_8,3604,0.617400050163269,1
net_9,5621,0.9482000470161438,1
net_10,5621,0.947700023651123,2
net_11,3604,0.6175000071525574,2
net_12,11192,0.957800030708313,2
net_13,11192,0.9594000577926636,2
net_14,11192,0.9583000540733337,2
net_15,5621,0.9487000703811646,3
net_16,3604,0.6136000156402588,3
net_17,11192,0.9595000743865967,3
net_18,3604,0.6203000545501709,3
net_19,3604,0.62090003490448,3
net_20,5621,0.9521000385284424,4
net_21,3604,0.6220000386238098,4
net_22,11192,0.9577000737190247,4
net_23,3604,0.6127000451087952,4
net_24,3604,0.6217000484466553,4
net_25,5621,0.9494000673294067,5
net_26,3604,0.624500036239624,5
net_27,11192,0.9589000344276428,5
net_28,5661,0.9490000605583191,5
net_29,11192,0.955500066280365,5
net_30,5621,0.9481000304222107,6
net_31,3604,0.6118000149726868,6
net_32,11192,0.9559000730514526,6
net_33,11192,0.9598000645637512,6
net_34,1294,0.5588000416755676,6
net_35,5621,0.947100043296814,7
net_36,11192,0.9571000337600708,7
net_37,1294,0.5544000267982483,7
net_38,10352,0.9647000432014465,7
net_39,1294,0.5598000288009644,7
net_40,5621,0.9469000697135925,8
net_41,1294,0.5375000238418579,8
net_42,10352,0.9628000259399414,8
net_43,2819,0.9369000196456909,8
net_44,1294,0.5544000267982483,8
net_45,1294,0.5488000512123108,9
net_46,10352,0.9637000560760498,9
net_47,2819,0.9391000270843506,9
net_48,1294,0.5485000014305115,9
net_49,2819,0.9368000626564026,9
net_50,1294,0.5564000010490417,10
net_51,10352,0.9628000259399414,10
net_52,2819,0.9296000599861145,10
net_53,4600,0.9457000494003296,10
net_54,10352,0.9630000591278076,10
net_55,1294,0.5666000247001648,11
net_56,2819,0.9384000301361084,11
net_57,10352,0.9652000665664673,11
net_58,1294,0.5356000065803528,11
net_59,10352,0.9622000455856323,11
net_60,1294,0.560699999332428,12
net_61,2819,0.9348000288009644,12
net_62,10352,0.9633000493049622,12
net_63,2819,0.9346000552177429,12
net_64,10164,0.9582000374794006,12
net_65,1294,0.5647000074386597,13
net_66,2819,0.9368000626564026,13
net_67,10352,0.9635000228881836,13
net_68,2819,0.9344000220298767,13
net_69,2819,0.9357000589370728,13
net_70,1294,0.5551000237464905,14
net_71,2819,0.9336000680923462,14
net_72,10352,0.9620000720024109,14
net_73,1294,0.5511000156402588,14
net_74,10352,0.9655000567436218,14
net_75,1294,0.5551000237464905,15
net_76,2819,0.9320000410079956,15
net_77,10352,0.9639000296592712,15
net_78,1294,0.5540000200271606,15
net_79,2819,0.9366000294685364,15
net_80,1294,0.5521000027656555,16
net_81,10352,0.9616000652313232,16
net_82,2819,0.9341000318527222,16
net_83,10352,0.9620000720024109,16
net_84,566,0.3225000202655792,16
net_85,2819,0.9384000301361084,17
net_86,10352,0.9617000222206116,17
net_87,566,0.31290000677108765,17
net_88,2819,0.9374000430107117,17
net_89,10352,0.9642000198364258,17
net_90,2819,0.9335000514984131,18
net_91,566,0.3132000267505646,18
net_92,10352,0.96260005235672,18
net_93,10916,0.9650000333786011,18
net_94,566,0.44690001010894775,18
net_95,2819,0.9341000318527222,19
net_96,566,0.3111000061035156,19
net_97,10916,0.964400053024292,19
net_98,10916,0.964900016784668,19
net_99,2819,0.9356000423431396,19
net_100,566,0.3296000063419342,20
net_101,10916,0.9636000394821167,20
net_102,2819,0.934700071811676,20
net_103,10916,0.9654000401496887,20
net_104,459,0.483100026845932,20
net_105,2819,0.9362000226974487,21
net_106,10916,0.9645000696182251,21
net_107,459,0.44940000772476196,21
net_108,10164,0.9593000411987305,21
net_109,2819,0.9325000643730164,21
net_110,2819,0.9323000311851501,22
net_111,10916,0.964400053024292,22
net_112,459,0.4942000210285187,22
net_113,2819,0.9367000460624695,22
net_114,459,0.47200003266334534,22
net_115,10916,0.9638000726699829,23
net_116,459,0.5081000328063965,23
net_117,2819,0.9371000528335571,23
net_118,459,0.5120000243186951,23
net_119,12686,0.9635000228881836,23
net_120,10916,0.9647000432014465,24
net_121,459,0.4561000168323517,24
net_122,2819,0.9383000731468201,24
net_123,10916,0.9654000401496887,24
net_124,2819,0.9314000606536865,24
net_125,459,0.4384000301361084,25
net_126,2819,0.9356000423431396,25
net_127,10916,0.9650000333786011,25
net_128,459,0.4918000102043152,25
net_129,459,0.4472000300884247,25
net_130,459,0.5202000141143799,26
net_131,2819,0.9315000176429749,26
net_132,10916,0.9655000567436218,26
net_133,459,0.39810001850128174,26
net_134,823,0.7102000117301941,26
net_135,459,0.4394000172615051,27
net_136,2819,0.9327000379562378,27
net_137,10916,0.9645000696182251,27
net_138,10916,0.960900068283081,27
net_139,945,0.589400053024292,27
net_140,459,0.5040000081062317,28
net_141,2819,0.9376000165939331,28
net_142,10916,0.9658000469207764,28
net_143,459,0.46310001611709595,28
net_144,10916,0.9657000303268433,28
net_145,459,0.4653000235557556,29
net_146,2819,0.9343000650405884,29
net_147,10916,0.9643000364303589,29
net_148,2819,0.935200035572052,29
net_149,9743,0.9535000324249268,29
net_150,459,0.5184000134468079,30
net_151,10916,0.9652000665664673,30
net_152,2819,0.9364000558853149,30
net_153,10916,0.9656000733375549,30
net_154,579,0.6831000447273254,30
net_155,459,0.5111000537872314,31
net_156,2819,0.9369000196456909,31
net_157,10916,0.963200032711029,31
net_158,2819,0.9318000674247742,31
net_159,297,0.5387000441551208,31
net_160,2819,0.9346000552177429,32
net_161,10916,0.9658000469207764,32
net_162,297,0.5090000033378601,32
net_163,10916,0.9658000469207764,32
net_164,10916,0.9648000597953796,32
net_165,2819,0.935200035572052,33
net_166,10916,0.9634000658988953,33
net_167,297,0.5207000374794006,33
net_168,10916,0.9661000370979309,33
net_169,297,0.5175000429153442,33
net_170,2819,0.9345000386238098,34
net_171,297,0.5403000116348267,34
net_172,10916,0.9658000469207764,34
net_173,2819,0.9340000152587891,34
net_174,2819,0.9369000196456909,34
net_175,297,0.4978000223636627,35
net_176,10916,0.9673000574111938,35
net_177,2819,0.9355000257492065,35
net_178,10916,0.9639000296592712,35
net_179,2315,0.926300048828125,35
net_180,297,0.5241000056266785,36
net_181,10916,0.9637000560760498,36
net_182,2315,0.9260000586509705,36
net_183,10916,0.9629000425338745,36
net_184,501,0.40640002489089966,36
net_185,297,0.5014000535011292,37
net_186,10916,0.963200032711029,37
net_187,2315,0.9296000599861145,37
net_188,10916,0.964400053024292,37
net_189,2315,0.9257000684738159,37
net_190,297,0.5182000398635864,38
net_191,2315,0.9228000640869141,38
net_192,10916,0.9658000469207764,38
net_193,297,0.5180000066757202,38
net_194,2636,0.9381000399589539,38
net_195,297,0.4855000376701355,39
net_196,10916,0.9647000432014465,39
net_197,2636,0.9342000484466553,39
net_198,10916,0.9661000370979309,39
net_199,2636,0.9402000308036804,39
net_200,297,0.5070000290870667,40
net_201,10916,0.9642000198364258,40
net_202,2636,0.9385000467300415,40
net_203,11104,0.9648000597953796,40
net_204,10916,0.9653000235557556,40
net_205,297,0.5056000351905823,41
net_206,2636,0.9387000203132629,41
net_207,10916,0.9655000567436218,41
net_208,297,0.5236000418663025,41
net_209,10916,0.9660000205039978,41
net_210,297,0.48760002851486206,42
net_211,2636,0.9386000633239746,42
net_212,10916,0.9610000252723694,42
net_213,297,0.5082000494003296,42
net_214,297,0.501800000667572,42
net_215,297,0.5052000284194946,43
net_216,2636,0.9425000548362732,43
net_217,10916,0.9652000665664673,43
net_218,10916,0.9629000425338745,43
net_219,297,0.38750001788139343,43
net_220,297,0.5338000059127808,44
net_221,2636,0.937000036239624,44
net_222,10916,0.9653000235557556,44
net_223,297,0.520300030708313,44
net_224,1286,0.735200047492981,44
net_225,297,0.5144000053405762,45
net_226,2636,0.9398000240325928,45
net_227,10916,0.9658000469207764,45
net_228,4976,0.9470000267028809,45
net_229,1556,0.909000039100647,45
net_230,297,0.524399995803833,46
net_231,10916,0.9641000628471375,46
net_232,1556,0.9047000408172607,46
net_233,10916,0.9621000289916992,46
net_234,10916,0.9665000438690186,46
net_235,297,0.513700008392334,47
net_236,1556,0.90420001745224,47
net_237,10916,0.9661000370979309,47
net_238,1556,0.9041000604629517,47
net_239,297,0.5052000284194946,47
net_240,297,0.5217000246047974,48
net_241,1556,0.9016000628471375,48
net_242,10916,0.9637000560760498,48
net_243,297,0.3912000060081482,48
net_244,297,0.3818000257015228,48
net_245,297,0.5010000467300415,49
net_246,1556,0.9029000401496887,49
net_247,10916,0.9648000597953796,49
net_248,1556,0.8952000141143799,49
net_249,1556,0.8957000374794006,49
net_250,297,0.4967000186443329,50
net_251,1556,0.9066000580787659,50
net_252,10916,0.9653000235557556,50
net_253,10540,0.9651000499725342,50
net_254,459,0.5214000344276428,50
net_255,297,0.525700032711029,51
net_256,1556,0.9048000574111938,51
net_257,10916,0.9643000364303589,51
net_258,324,0.550000011920929,51
net_259,297,0.515500009059906,51
net_260,297,0.4952000379562378,52
net_261,1556,0.9026000499725342,52
net_262,10916,0.9634000658988953,52
net_263,405,0.46710002422332764,52
net_264,297,0.5151000022888184,52
net_265,297,0.4943000376224518,53
net_266,1556,0.9084000587463379,53
net_267,10916,0.963200032711029,53
net_268,10916,0.9641000628471375,53
net_269,10916,0.9650000333786011,53
net_270,297,0.534000039100647,54
net_271,1556,0.9008000493049622,54
net_272,10916,0.9641000628471375,54
net_273,297,0.5336000323295593,54
net_274,297,0.5285000205039978,54
net_275,297,0.5139999985694885,55
net_276,1556,0.8973000645637512,55
net_277,10916,0.9648000597953796,55
net_278,297,0.5295000076293945,55
net_279,1556,0.8993000388145447,55
net_280,297,0.525700032711029,56
net_281,10916,0.9634000658988953,56
net_282,1556,0.9009000658988953,56
net_283,297,0.5152000188827515,56
net_284,297,0.5351999998092651,56
net_285,297,0.520300030708313,57
net_286,10916,0.9663000702857971,57
net_287,1556,0.907800018787384,57
net_288,424,0.5180000066757202,57
net_289,1556,0.9066000580787659,57
net_290,297,0.5222000479698181,58
net_291,10916,0.9665000438690186,58
net_292,1556,0.9100000262260437,58
net_293,297,0.522599995136261,58
net_294,1556,0.90420001745224,58
net_295,297,0.515500009059906,59
net_296,10916,0.9636000394821167,59
net_297,1556,0.9047000408172607,59
net_298,1556,0.898400068283081,59
net_299,297,0.3921000063419342,59
net_300,297,0.51500004529953,60
net_301,10916,0.9666000604629517,60
net_302,1556,0.902400016784668,60
net_303,1380,0.8176000118255615,60
net_304,657,0.7569000124931335,60
net_305,297,0.5333999991416931,61
net_306,10916,0.964400053024292,61
net_307,1556,0.8963000178337097,61
net_308,10916,0.9654000401496887,61
net_309,357,0.5412999987602234,61
net_310,297,0.5109000205993652,62
net_311,1556,0.9017000198364258,62
net_312,10916,0.9654000401496887,62
net_313,1556,0.8996000289916992,62
net_314,417,0.6199000477790833,62
net_315,297,0.5162000060081482,63
net_316,1556,0.8993000388145447,63
net_317,10916,0.9639000296592712,63
net_318,1556,0.905500054359436,63
net_319,1556,0.90420001745224,63
net_320,297,0.5064000487327576,64
net_321,10916,0.9671000242233276,64
net_322,1556,0.8985000252723694,64
net_323,1556,0.9027000665664673,64
net_324,10916,0.9638000726699829,64
net_325,297,0.5103000402450562,65
net_326,10916,0.964900016784668,65
net_327,1556,0.9009000658988953,65
net_328,297,0.492000013589859,65
net_329,1556,0.898300051689148,65
net_330,297,0.5247000455856323,66
net_331,10916,0.9640000462532043,66
net_332,1556,0.8997000455856323,66
net_333,297,0.5127000212669373,66
net_334,1556,0.8963000178337097,66
net_335,297,0.5294000506401062,67
net_336,10916,0.9654000401496887,67
net_337,1556,0.9062000513076782,67
net_338,3140,0.9120000600814819,67
net_339,10916,0.9658000469207764,67
net_340,297,0.48430001735687256,68
net_341,1556,0.9076000452041626,68
net_342,10916,0.9665000438690186,68
net_343,297,0.511400043964386,68
net_344,11506,0.9634000658988953,68
net_345,297,0.5319000482559204,69
net_346,1556,0.896600067615509,69
net_347,10916,0.9606000185012817,69
net_348,10916,0.9643000364303589,69
net_349,10916,0.9657000303268433,69
net_350,297,0.5028000473976135,70
net_351,1556,0.9023000597953796,70
net_352,10916,0.9640000462532043,70
net_353,297,0.5270000100135803,70
net_354,10916,0.9648000597953796,70
net_355,297,0.5074000358581543,71
net_356,1556,0.9034000635147095,71
net_357,10916,0.9646000266075134,71
net_358,297,0.5238000154495239,71
net_359,10916,0.9648000597953796,71
net_360,297,0.4897000193595886,72
net_361,1556,0.905500054359436,72
net_362,10916,0.9627000689506531,72
net_363,13276,0.9664000272750854,72
net_364,1380,0.8249000310897827,72
net_365,297,0.5070000290870667,73
net_366,1556,0.8999000191688538,73
net_367,13276,0.9681000709533691,73
net_368,13500,0.9705000519752502,73
net_369,1556,0.9062000513076782,73
