id,params,acc,gen
net,4241,0.9371000528335571,0
net_1,3710,0.9271000623703003,0
net_2,337,0.39590001106262207,0
net_3,2642,0.8373000621795654,0
net_4,4794,0.7830000519752502,0
net_5,7675,0.9274000525474548,0
net_6,3042,0.6514000296592712,0
net_7,4442,0.9318000674247742,0
net_8,1655,0.8491000533103943,0
net_9,3794,0.9278000593185425,0
net_10,2737,0.8981000185012817,0
net_11,3888,0.8398000597953796,0
net_12,6598,0.655500054359436,0
net_13,3874,0.6083000302314758,0
net_14,1947,0.8869000673294067,0
net_15,21128,0.9738000631332397,0
net_16,2174,0.8909000158309937,0
net_17,2117,0.8510000109672546,0
net_18,2860,0.574400007724762,0
net_19,11109,0.9157000184059143,0
net_20,19580,0.9260000586509705,0
net_21,2631,0.9422000646591187,0
net_22,3800,0.8973000645637512,0
net_23,407,0.5517000555992126,0
net_24,6613,0.9165000319480896,0
net_25,4964,0.8778000473976135,0
net_26,142,0.3522000312805176,0
net_27,12471,0.9399000406265259,0
net_28,1740,0.8129000663757324,0
net_29,4310,0.9290000200271606,0
net_30,13964,0.9503000378608704,0
net_31,2317,0.9057000279426575,0
net_32,6459,0.9376000165939331,0
net_33,5962,0.9149000644683838,0
net_34,2106,0.8901000618934631,0
net_35,2025,0.881100058555603,0
net_36,10886,0.9167000651359558,0
net_37,744,0.5409000515937805,0
net_38,10417,0.9490000605583191,0
net_39,650,0.5248000025749207,0
net_40,2583,0.8535000681877136,0
net_41,6020,0.9228000640869141,0
net_42,3374,0.8957000374794006,0
net_43,6212,0.8373000621795654,0
net_44,3543,0.7871000170707703,0
net_45,620,0.7050000429153442,0
net_46,3437,0.8862000703811646,0
net_47,591,0.6058000326156616,0
net_48,17672,0.9200000166893005,0
net_49,1013,0.6109000444412231,0
net_50,1805,0.6928000450134277,0
net_51,3713,0.6463000178337097,0
net_52,1763,0.6796000599861145,0
net_53,4863,0.9305000305175781,0
net_54,3939,0.9297000169754028,0
net_55,8172,0.9433000683784485,0
net_56,1397,0.7229000329971313,0
net_57,2215,0.5569000244140625,0
net_58,4793,0.9375000596046448,0
net_59,1207,0.8467000126838684,0
net_60,426,0.4034000337123871,0
net_61,7780,0.9152000546455383,0
net_62,7045,0.8563000559806824,0
net_63,4850,0.8618000149726868,0
net_64,683,0.46560001373291016,0
net_65,3929,0.855400025844574,0
net_66,7326,0.8457000255584717,0
net_67,9070,0.9548000693321228,0
net_68,4398,0.9315000176429749,0
net_69,920,0.7898000478744507,0
net_70,348,0.4750000238418579,0
net_71,1964,0.8289000391960144,0
net_72,1433,0.7832000255584717,0
net_73,6206,0.8179000616073608,0
net_74,7873,0.9375000596046448,0
net_75,404,0.7124000191688538,0
net_76,6617,0.9111000299453735,0
net_77,11616,0.9386000633239746,0
net_78,7412,0.9043000340461731,0
net_79,1740,0.8387000560760498,0
net_80,8612,0.9421000480651855,0
net_81,6233,0.8614000678062439,0
net_82,1358,0.8630000352859497,0
net_83,5079,0.6696000099182129,0
net_84,586,0.4790000319480896,0
net_85,6718,0.9417000412940979,0
net_86,10088,0.9366000294685364,0
net_87,10414,0.9566000699996948,0
net_88,1087,0.6732000112533569,0
net_89,14279,0.9300000667572021,0
net_90,5745,0.8062000274658203,0
net_91,11608,0.9266000390052795,0
net_92,1783,0.8574000597000122,0
net_93,6126,0.9036000370979309,0
net_94,2550,0.6559000015258789,0
net_95,8010,0.8866000175476074,0
net_96,4893,0.9313000440597534,0
net_97,5470,0.7629000544548035,0
net_98,8590,0.9371000528335571,0
net_99,1335,0.7843000292778015,0
net_100,21128,0.9746000170707703,1
net_101,2631,0.9426000714302063,1
net_102,142,0.3338000178337097,1
net_103,142,0.3393000066280365,1
net_104,142,0.33480000495910645,1
net_105,142,0.34610000252723694,1
net_106,1641,0.9071000218391418,1
net_107,447,0.6002000570297241,1
net_108,142,0.3400000035762787,1
net_109,18164,0.9714000225067139,1
net_110,21869,0.972100019454956,1
net_111,2467,0.9346000552177429,1
net_112,264,0.47380003333091736,1
net_113,12702,0.9666000604629517,1
net_114,142,0.3394000232219696,1
net_115,1641,0.9074000716209412,1
net_116,142,0.3416000306606293,1
net_117,142,0.3474000096321106,1
net_118,21128,0.9719000458717346,1
net_119,21128,0.9718000292778015,1
net_120,21018,0.9719000458717346,1
net_121,21128,0.9711000323295593,1
net_122,19654,0.969700038433075,1
net_123,252,0.4741000235080719,1
net_124,2631,0.9399000406265259,1
net_125,11888,0.9627000689506531,1
net_126,192,0.49080002307891846,1
net_127,21128,0.9736000299453735,1
net_128,21128,0.9695000648498535,1
net_129,2631,0.9419000744819641,1
net_130,21128,0.9739000201225281,1
net_131,21128,0.9713000655174255,1
net_132,142,0.34050002694129944,1
net_133,16682,0.9722000360488892,1
net_134,3465,0.942300021648407,1
net_135,21128,0.9700000286102295,1
net_136,2358,0.931600034236908,1
net_137,18164,0.9730000495910645,1
net_138,21128,0.9709000587463379,1
net_139,157,0.43390002846717834,1
net_140,325,0.534500002861023,1
net_141,22610,0.9749000668525696,1
net_142,21128,0.9734000563621521,1
net_143,113,0.17960001528263092,1
net_144,2631,0.9430000185966492,1
net_145,142,0.3416000306606293,1
net_146,2631,0.9402000308036804,1
net_147,20387,0.9714000225067139,1
net_148,7154,0.9598000645637512,1
net_149,3465,0.9395000338554382,1
net_150,2631,0.9412000179290771,1
net_151,2631,0.9415000677108765,1
net_152,21018,0.9693000316619873,1
net_153,172,0.3799000084400177,1
net_154,21128,0.9731000661849976,1
net_155,142,0.35030001401901245,1
net_156,2631,0.9426000714302063,1
net_157,19654,0.9695000648498535,1
net_158,2467,0.9318000674247742,1
net_159,1431,0.8315000534057617,1
net_160,267,0.541700005531311,1
net_161,11778,0.9602000713348389,1
net_162,2631,0.941800057888031,1
net_163,2795,0.9372000694274902,1
net_164,142,0.34710001945495605,1
net_165,1797,0.9287000298500061,1
net_166,27221,0.9745000600814819,1
net_167,21128,0.9727000594139099,1
net_168,16811,0.9695000648498535,1
net_169,21128,0.9741000533103943,1
net_170,142,0.34800001978874207,1
net_171,209,0.47870001196861267,1
net_172,3657,0.9310000538825989,1
net_173,20928,0.9706000685691833,1
net_174,192,0.4691000282764435,1
net_175,142,0.32930001616477966,1
net_176,203,0.43710002303123474,1
net_177,142,0.33900001645088196,1
net_178,142,0.33490002155303955,1
net_179,2631,0.943600058555603,1
net_180,300,0.4792000353336334,1
net_181,2631,0.9410000443458557,1
net_182,3678,0.9501000642776489,1
net_183,2631,0.9430000185966492,1
net_184,142,0.3369000256061554,1
net_185,2631,0.9426000714302063,1
net_186,2795,0.9386000633239746,1
net_187,16725,0.9581000208854675,1
net_188,142,0.33900001645088196,1
net_189,252,0.3345000147819519,1
net_190,21128,0.9728000164031982,1
net_191,2631,0.9409000277519226,1
net_192,21128,0.9705000519752502,1
net_193,132,0.42580002546310425,1
net_194,142,0.33570000529289246,1
net_195,325,0.539900004863739,1
net_196,11888,0.9637000560760498,1
net_197,7698,0.959100067615509,1
net_198,21128,0.969700038433075,1
net_199,142,0.33660000562667847,1
net_200,22610,0.9727000594139099,2
net_201,113,0.17970000207424164,2
net_202,1797,0.9286000728607178,2
net_203,10610,0.9523000717163086,2
net_204,1860,0.9327000379562378,2
net_205,24184,0.9746000170707703,2
net_206,22610,0.9752000570297241,2
net_207,5918,0.9562000632286072,2
net_208,5967,0.9567000269889832,2
net_209,153,0.2697000205516815,2
net_210,22610,0.9724000692367554,2
net_211,1797,0.9333000183105469,2
net_212,21823,0.9690000414848328,2
net_213,19910,0.963100016117096,2
net_214,113,0.18000000715255737,2
net_215,1797,0.9300000667572021,2
net_216,188,0.30570000410079956,2
net_217,1797,0.9310000538825989,2
net_218,141,0.19610001146793365,2
net_219,23397,0.9696000218391418,2
net_220,10317,0.9567000269889832,2
net_221,1797,0.9268000721931458,2
net_222,1797,0.9266000390052795,2
net_223,1797,0.9277000427246094,2
net_224,1797,0.9295000433921814,2
net_225,1797,0.9273000359535217,2
net_226,22610,0.9736000299453735,2
net_227,25059,0.973300039768219,2
net_228,2145,0.9076000452041626,2
net_229,113,0.1787000149488449,2
net_230,113,0.18050001561641693,2
