id,params,acc,gen
net_10,2186,0.9012000560760498,0
net_32,1283,0.8682000637054443,1
net_53,1392,0.8863000273704529,2
net_66,1682,0.8946000337600708,3
net_94,1428,0.8859000205993652,4
net_101,1428,0.8920000195503235,5
net_124,828,0.8559000492095947,6
net_143,883,0.8715000152587891,7
net_161,883,0.8665000200271606,8
net_188,992,0.8932000398635864,9
net_202,992,0.8868000507354736,10
net_221,992,0.8970000147819519,11
net_241,992,0.8891000151634216,12
net_272,897,0.8843000531196594,13
net_290,897,0.8807000517845154,14
