id,params,acc,gen
net,817,0.804900050163269,0
net_1,10771,0.9630000591278076,0
net_2,1558,0.735200047492981,0
net_3,506,0.6381000280380249,0
net_4,992,0.7920000553131104,0
net_5,3080,0.9101000428199768,0
net_6,2061,0.8573000431060791,0
net_7,2052,0.6532000303268433,0
net_8,3010,0.8861000537872314,0
net_9,971,0.7866000533103943,0
net_10,1345,0.8521000146865845,0
net_11,990,0.5568000078201294,0
net_12,669,0.6992000341415405,0
net_13,3890,0.8644000291824341,0
net_14,4396,0.9532000422477722,0
net_15,193,0.29340001940727234,0
net_16,1679,0.8634000420570374,0
net_17,1502,0.8735000491142273,0
net_18,452,0.5083000063896179,0
net_19,604,0.6422000527381897,0
net_20,6644,0.9231000542640686,0
net_21,761,0.7008000612258911,0
net_22,1237,0.7663000226020813,0
net_23,1535,0.6993000507354736,0
net_24,1273,0.8701000213623047,0
net_25,2359,0.8424000144004822,0
net_26,380,0.32020002603530884,0
net_27,2289,0.8810000419616699,0
net_28,998,0.5992000102996826,0
net_29,472,0.6652000546455383,0
net_30,3884,0.8309000134468079,0
net_31,4120,0.8460000157356262,0
net_32,1763,0.7272000312805176,0
net_33,1117,0.9023000597953796,0
net_34,2663,0.8413000106811523,0
net_35,1772,0.8929000496864319,0
net_36,2833,0.8985000252723694,0
net_37,1929,0.8506000638008118,0
net_38,1401,0.5758000016212463,0
net_39,477,0.6449000239372253,0
net_40,1500,0.6983000040054321,0
net_41,6027,0.9532000422477722,0
net_42,3665,0.7585000395774841,0
net_43,5265,0.7859000563621521,0
net_44,1539,0.7534000277519226,0
net_45,793,0.8281000256538391,0
net_46,1891,0.8803000450134277,0
net_47,3078,0.8363000154495239,0
net_48,1727,0.8622000217437744,0
net_49,457,0.5223000049591064,0
net_50,1118,0.8566000461578369,0
net_51,1108,0.5009000301361084,0
net_52,2999,0.9376000165939331,0
net_53,3480,0.6438000202178955,0
net_54,4777,0.9559000730514526,0
net_55,1923,0.7963000535964966,0
net_56,1233,0.8015000224113464,0
net_57,1072,0.7035000324249268,0
net_58,520,0.3879000246524811,0
net_59,7904,0.9372000694274902,0
net_60,1723,0.843500018119812,0
net_61,1331,0.7775000333786011,0
net_62,3076,0.8610000610351562,0
net_63,458,0.5968000292778015,0
net_64,595,0.8249000310897827,0
net_65,1320,0.8166000247001648,0
net_66,1462,0.8672000169754028,0
net_67,1676,0.6493000388145447,0
net_68,1643,0.7988000512123108,0
net_69,444,0.5249000191688538,0
net_70,656,0.844700038433075,0
net_71,4269,0.7205000519752502,0
net_72,3405,0.7425000071525574,0
net_73,946,0.8321000337600708,0
net_74,5418,0.9467000365257263,0
net_75,4136,0.8788000345230103,0
net_76,640,0.8205000162124634,0
net_77,728,0.7399000525474548,0
net_78,1680,0.7959000468254089,0
net_79,1069,0.7868000268936157,0
net_80,2917,0.8610000610351562,0
net_81,355,0.2962000072002411,0
net_82,7567,0.9579000473022461,0
net_83,246,0.2412000149488449,0
net_84,681,0.8079000115394592,0
net_85,1042,0.8148000240325928,0
net_86,4817,0.9455000162124634,0
net_87,5621,0.945900022983551,0
net_88,560,0.7415000200271606,0
net_89,1307,0.694100022315979,0
net_90,1856,0.8563000559806824,0
net_91,775,0.7943000197410583,0
net_92,468,0.7485000491142273,0
net_93,772,0.7212000489234924,0
net_94,3192,0.9464000463485718,0
net_95,1994,0.893500030040741,0
net_96,1087,0.8619000315666199,0
net_97,263,0.6127000451087952,0
net_98,487,0.6319000124931335,0
net_99,2744,0.8883000612258911,0
net_100,10771,0.9651000499725342,1
net_101,193,0.2888000011444092,1
net_102,1117,0.9056000709533691,1
net_103,441,0.6443000435829163,1
net_104,6585,0.945400059223175,1
net_105,8705,0.9586000442504883,1
net_106,415,0.46160003542900085,1
net_107,353,0.555400013923645,1
net_108,110,0.22850000858306885,1
net_109,368,0.3708000183105469,1
net_110,442,0.33240002393722534,1
net_111,291,0.3322000205516815,1
net_112,3599,0.9141000509262085,1
net_113,532,0.6983000040054321,1
net_114,5449,0.9540000557899475,1
net_115,5561,0.9488000273704529,1
net_116,299,0.3976000249385834,1
net_117,1667,0.8601000308990479,1
net_118,5444,0.9466000199317932,1
net_119,1543,0.874500036239624,1
net_120,11941,0.9660000205039978,1
net_121,1142,0.8701000213623047,1
net_122,1117,0.9010000228881836,1
net_123,152,0.2775000035762787,1
net_124,10182,0.963100016117096,1
net_125,5941,0.9149000644683838,1
net_126,10260,0.963100016117096,1
net_127,8180,0.9569000601768494,1
net_128,850,0.660800039768219,1
net_129,493,0.7135000228881836,1
net_130,5911,0.9397000670433044,1
net_131,1265,0.8644000291824341,1
net_132,207,0.42430001497268677,1
net_133,182,0.4564000070095062,1
net_134,276,0.4775000214576721,1
net_135,337,0.49220001697540283,1
net_136,216,0.250900000333786,1
net_137,2650,0.9435000419616699,1
net_138,10124,0.9581000208854675,1
net_139,417,0.26990002393722534,1
net_140,1104,0.9059000611305237,1
net_141,482,0.6894000172615051,1
net_142,122,0.2964000105857849,1
net_143,528,0.8444000482559204,1
net_144,1118,0.8803000450134277,1
net_145,276,0.4699000120162964,1
net_146,5767,0.9521000385284424,1
net_147,228,0.4953000247478485,1
net_148,680,0.830500066280365,1
net_149,3885,0.9391000270843506,1
net_150,4161,0.9412000179290771,1
net_151,193,0.30550000071525574,1
net_152,6275,0.9473000168800354,1
net_153,5395,0.9559000730514526,1
net_154,11941,0.9677000641822815,1
net_155,170,0.29840001463890076,1
net_156,270,0.2896000146865845,1
net_157,5255,0.9497000575065613,1
net_158,6324,0.9465000629425049,1
net_159,4520,0.9445000290870667,1
net_160,8863,0.9652000665664673,1
net_161,614,0.7272000312805176,1
net_162,5117,0.945400059223175,1
net_163,1773,0.9010000228881836,1
net_164,1142,0.8787000179290771,1
net_165,9206,0.9610000252723694,1
net_166,12469,0.9663000702857971,1
net_167,389,0.4715000092983246,1
net_168,8705,0.9595000743865967,1
net_169,3256,0.9170000553131104,1
net_170,397,0.6202000379562378,1
net_171,2005,0.8878000378608704,1
net_172,300,0.30800002813339233,1
net_173,344,0.25370001792907715,1
net_174,761,0.7510000467300415,1
net_175,344,0.5434000492095947,1
net_176,2687,0.9220000505447388,1
net_177,331,0.24050001800060272,1
net_178,4777,0.9497000575065613,1
net_179,687,0.6792000532150269,1
net_180,571,0.34620001912117004,1
net_181,193,0.22800001502037048,1
net_182,3092,0.9117000699043274,1
net_183,193,0.30000001192092896,1
net_184,341,0.4740000367164612,1
net_185,561,0.6831000447273254,1
net_186,10717,0.9641000628471375,1
net_187,341,0.4764000177383423,1
net_188,587,0.5706000328063965,1
net_189,6387,0.9438000321388245,1
net_190,440,0.5825000405311584,1
net_191,3898,0.9479000568389893,1
net_192,314,0.5370000004768372,1
net_193,477,0.5707000494003296,1
net_194,10717,0.9634000658988953,1
net_195,1132,0.8956000208854675,1
net_196,5255,0.9456000328063965,1
net_197,4205,0.9287000298500061,1
net_198,351,0.5260000228881836,1
net_199,407,0.6991000175476074,1
net_200,110,0.2233000099658966,2
net_201,1104,0.9065000414848328,2
net_202,11941,0.96670001745224,2
net_203,3725,0.9141000509262085,2
net_204,236,0.28760001063346863,2
net_205,456,0.37960001826286316,2
net_206,1447,0.8067000508308411,2
net_207,538,0.45320001244544983,2
net_208,1132,0.902400016784668,2
net_209,5941,0.9221000671386719,2
net_210,4224,0.9368000626564026,2
net_211,6185,0.9431000351905823,2
net_212,170,0.40570002794265747,2
net_213,184,0.2144000083208084,2
net_214,1160,0.8725000619888306,2
net_215,110,0.22120000422000885,2
net_216,372,0.5542000532150269,2
net_217,838,0.8311000466346741,2
net_218,261,0.41370001435279846,2
net_219,3432,0.9224000573158264,2
net_220,425,0.44030001759529114,2
net_221,472,0.7368000149726868,2
net_222,97,0.18300001323223114,2
net_223,361,0.30480000376701355,2
net_224,11941,0.9679000377655029,2
net_225,711,0.5539000034332275,2
net_226,82,0.15120001137256622,2
net_227,92,0.24960000813007355,2
net_228,4923,0.9580000638961792,2
net_229,7438,0.9413000345230103,2
net_230,287,0.3765000104904175,2
net_231,162,0.24070000648498535,2
net_232,2217,0.9314000606536865,2
net_233,7297,0.9629000425338745,2
net_234,8596,0.9616000652313232,2
net_235,6125,0.9410000443458557,2
net_236,10463,0.9668000340461731,2
net_237,6392,0.9610000252723694,2
net_238,8439,0.954200029373169,2
net_239,5941,0.9395000338554382,2
net_240,455,0.3416000306606293,2
net_241,3340,0.9228000640869141,2
net_242,2460,0.9364000558853149,2
net_243,193,0.22200001776218414,2
net_244,233,0.3582000136375427,2
net_245,13292,0.969200074672699,2
net_246,362,0.2957000136375427,2
net_247,2678,0.9384000301361084,2
net_248,486,0.6432000398635864,2
net_249,3388,0.9374000430107117,2
net_250,140,0.3165000081062317,2
net_251,4628,0.9371000528335571,2
net_252,5191,0.9336000680923462,2
net_253,4419,0.9389000535011292,2
net_254,588,0.682200014591217,2
net_255,140,0.30630001425743103,2
net_256,1713,0.9163000583648682,2
net_257,4127,0.936500072479248,2
net_258,777,0.8281000256538391,2
net_259,110,0.225600004196167,2
net_260,1914,0.8777000308036804,2
net_261,196,0.3346000015735626,2
net_262,170,0.2345000058412552,2
net_263,12007,0.9686000347137451,2
net_264,705,0.7886000275611877,2
net_265,299,0.3889000117778778,2
net_266,740,0.7471000552177429,2
net_267,6081,0.9549000263214111,2
net_268,7704,0.9587000608444214,2
net_269,1631,0.8949000239372253,2
net_270,1708,0.8844000697135925,2
net_271,5600,0.9465000629425049,2
net_272,110,0.22620001435279846,2
net_273,1691,0.7582000494003296,2
net_274,1232,0.9068000316619873,2
net_275,1260,0.9191000461578369,2
net_276,9586,0.9656000733375549,2
net_277,662,0.8401000499725342,2
net_278,360,0.6470000147819519,2
net_279,235,0.27240002155303955,2
net_280,194,0.2379000186920166,2
net_281,1104,0.9068000316619873,2
net_282,252,0.3126000165939331,2
net_283,8554,0.957800030708313,2
net_284,10419,0.9604000449180603,2
net_285,444,0.6614000201225281,2
net_286,13463,0.9670000672340393,2
net_287,4016,0.9267000555992126,2
net_288,11887,0.96670001745224,2
net_289,97,0.2013000100851059,2
net_290,11887,0.9693000316619873,2
net_291,12007,0.9669000506401062,2
net_292,84,0.2079000025987625,2
net_293,374,0.4791000187397003,2
net_294,1015,0.804900050163269,2
net_295,605,0.5111000537872314,2
net_296,4982,0.9173000454902649,2
net_297,4741,0.9465000629425049,2
net_298,176,0.45330002903938293,2
net_299,9663,0.9666000604629517,2
net_300,82,0.1542000025510788,3
net_301,1260,0.9201000332832336,3
net_302,11887,0.9681000709533691,3
net_303,9663,0.9628000259399414,3
net_304,126,0.13020001351833344,3
net_305,2448,0.9052000641822815,3
net_306,237,0.2363000065088272,3
net_307,464,0.8254000544548035,3
net_308,1296,0.9180000424385071,3
net_309,7640,0.9505000710487366,3
net_310,144,0.32610002160072327,3
net_311,9193,0.9422000646591187,3
net_312,6991,0.9493000507354736,3
net_313,3967,0.9190000295639038,3
net_314,140,0.2769000232219696,3
net_315,632,0.829200029373169,3
net_316,112,0.2396000176668167,3
net_317,5502,0.9362000226974487,3
net_318,92,0.19820000231266022,3
net_319,8170,0.9606000185012817,3
net_320,1383,0.9109000563621521,3
net_321,8103,0.9593000411987305,3
net_322,10317,0.9590000510215759,3
net_323,1943,0.9341000318527222,3
net_324,112,0.1851000040769577,3
net_325,1188,0.9165000319480896,3
net_326,82,0.1542000025510788,3
net_327,1340,0.9128000140190125,3
net_328,141,0.19840000569820404,3
net_329,157,0.28540000319480896,3
net_330,293,0.6192000508308411,3
net_331,8445,0.9648000597953796,3
net_332,11887,0.9673000574111938,3
net_333,1911,0.9231000542640686,3
net_334,417,0.4118000268936157,3
net_335,101,0.29760000109672546,3
net_336,132,0.1981000155210495,3
net_337,5889,0.92330002784729,3
net_338,8917,0.9595000743865967,3
net_339,1265,0.8635000586509705,3
net_340,1157,0.8862000703811646,3
net_341,692,0.8234000205993652,3
net_342,99,0.11350000649690628,3
net_343,1227,0.8134000301361084,3
net_344,1484,0.9268000721931458,3
net_345,82,0.15470001101493835,3
net_346,6446,0.9594000577926636,3
net_347,5941,0.9399000406265259,3
net_348,159,0.23570001125335693,3
net_349,5210,0.940500020980835,3
net_350,1160,0.8850000500679016,3
net_351,9788,0.9650000333786011,3
net_352,9631,0.963100016117096,3
net_353,566,0.44790002703666687,3
net_354,319,0.4393000304698944,3
net_355,5076,0.9355000257492065,3
net_356,3425,0.8396000266075134,3
net_357,13237,0.9681000709533691,3
net_358,1736,0.9416000247001648,3
net_359,72,0.2209000140428543,3
net_360,145,0.11350000649690628,3
net_361,1905,0.9153000712394714,3
net_362,1097,0.8732000589370728,3
net_363,734,0.8537000417709351,3
net_364,84,0.23930001258850098,3
net_365,480,0.7958000302314758,3
net_366,396,0.669700026512146,3
net_367,3608,0.9130000472068787,3
net_368,1260,0.9190000295639038,3
net_369,388,0.6415000557899475,3
net_370,11274,0.9639000296592712,3
net_371,4672,0.9300000667572021,3
net_372,452,0.722100019454956,3
net_373,62,0.1835000067949295,3
net_374,72,0.23880000412464142,3
net_375,712,0.8468000292778015,3
net_376,715,0.7058000564575195,3
net_377,1139,0.9081000685691833,3
net_378,144,0.20000000298023224,3
net_379,82,0.1503000110387802,3
net_380,10160,0.964400053024292,3
net_381,11871,0.963100016117096,3
net_382,200,0.30900001525878906,3
